ds_name,att_name,missing_values_pct,val_pct_min,val_pct_median,val_size_min,val_size_avg,val_pct_max,distinct_values_cnt,val_pct_std,distinct_values_pct,val_size_co_of_var,val_size_max,ds_name_2,att_name_2,match
worldcitiespop.csv,City,0.43742164,0.0287094,10.31719299,0,0.000156,0.027973302,10.31719299,0.005300896,0.264323882,1.006900634,0.01634807,countries_and_continents.csv,WMO,0
worldcitiespop.csv,City,0.025724939,0.0287094,10.31703505,0,0.000165,0.013802871,10.31703505,6.03E-06,0.616626034,1.109080582,0.016398217,countries_and_continents.csv,ISO3166-1-Alpha-2,0
worldcitiespop.csv,City,0.077187027,0.0287094,10.31706137,0,0.000161,0.042143734,10.31706137,0.004999509,0.557909008,1.011695179,0.016297922,countries_and_continents.csv,MARC,1
worldcitiespop.csv,City,0.102918071,0.0287094,10.31706137,0,0.000165,0.013802871,10.31706137,6.03E-06,0.557909008,1.109080582,0.016398217,countries_and_continents.csv,GAUL,0
worldcitiespop.csv,City,0.321631943,0.0287094,10.31713595,0,0.000165,0.013802871,10.31713595,6.03E-06,0.391544103,1.109080582,0.016398217,countries_and_continents.csv,IOC,0
worldcitiespop.csv,City,0.025724939,0.143556084,10.31809674,0.002416256,0.01617452,0.821517477,10.31809674,0.745541969,1.75162732,0.697952849,0.013539812,countries_and_continents.csv,Continent,0
worldcitiespop.csv,City,0.064321505,0.0287094,10.31706137,0,0.000159,0.042143734,10.31706137,0.005581075,0.557909008,1.000822378,0.016297922,countries_and_continents.csv,Languages,1
worldcitiespop.csv,City,0.501749249,0.0287094,10.31719737,0,0.000165,0.013802871,10.31719737,6.03E-06,0.254537711,1.109080582,0.016398217,countries_and_continents.csv,EDGAR,0
worldcitiespop.csv,City,0.180111202,0.0287094,10.3170877,0,0.000165,0.013802871,10.3170877,6.03E-06,0.499191983,1.109080582,0.016398217,countries_and_continents.csv,FIFA,0
worldcitiespop.csv,City,6.10E-06,0.007204359,10.31595142,0,0.000315,0.028086666,10.31595142,0.013225947,0.601791386,0.596177496,0.016047185,Netflix_Shows.csv,title,0
worldcitiespop.csv,City,6.10E-06,0.144130318,10.31803532,0,0.000487,0.568716976,10.31803532,0.375679871,0.788472382,0.492523991,0.016047185,top50.csv,Genre,1
worldcitiespop.csv,City,6.10E-06,0.005160071,10.31749131,0,0.003912511,1.00602746,10.31749131,0.293552688,1.564996069,2.217451674,0.003359879,Word_University_Rank_2020.csv,Overall_Ranking,0
worldcitiespop.csv,City,6.10E-06,0.005160071,10.3178028,0,0.008278387,0.195815772,10.3178028,0.138334805,1.689923971,0.309042109,0.012587011,Word_University_Rank_2020.csv,Percentage_Male,0
worldcitiespop.csv,City,6.10E-06,0.093590319,10.31809674,0,0.004561164,1.246814459,10.31809674,1.297836753,1.59682789,0.399096068,0.015094383,phpRiBb0c.csv,protein,0
worldcitiespop.csv,City,6.10E-06,0.000621,10.31717983,0.002416256,0.125820892,0.019634048,10.31717983,0.008558883,1.810950044,0.964501437,0.00015,fifa_ranking.csv,country_abrv,0
worldcitiespop.csv,City,6.10E-06,0.354512073,10.31810113,1.716750114,4.55187645,0.918660196,10.31810113,0.867049562,1.819875504,0.702518432,0.732403547,fifa_ranking.csv,confederation,0
worldcitiespop.csv,City,6.10E-06,0.036954803,10.3177019,0,0.000312,0.254990885,10.3177019,0.082220935,0.59826435,0.485755267,0.0157463,gender_development.csv,Expected_Years_of_Education_Female,0
worldcitiespop.csv,City,6.10E-06,0.036954803,10.31754396,0,5.51E-05,0.090831884,10.31754396,0.038801419,0.144788247,0.705718073,0.016197627,gender_development.csv,Life_Expectancy_at_Birth_Female,0
worldcitiespop.csv,City,6.10E-06,0.036954803,10.31775454,0,0.000446,0.254990885,10.31775454,0.093526408,0.749423051,0.487768284,0.0157463,gender_development.csv,Expected_Years_of_Education_Male,0
worldcitiespop.csv,City,6.10E-06,0.036954803,10.31769312,0,0.000293,0.327950441,10.31769312,0.095808975,0.573071233,0.367774632,0.01554571,gender_development.csv,Mean_Years_of_Education_Female,0
