file1,att1,sizeDistinct1,file2,att2,sizeDistinct2,joinSize,containment1,containment2,jaccard,size1,size2,label
netflix_titles.csv,title,6173,gender_development.csv,Expected_Years_of_Education_Female,97,1,0.000161996,0.010309278,0.00015949,6236,195,domain
netflix_titles.csv,title,6173,gender_development.csv,Expected_Years_of_Education_Male,85,1,0.000161996,0.011764706,0.000159795,6236,195,domain
netflix_titles.csv,title,6173,gender_development.csv,Mean_Years_of_Education_Female,99,1,0.000161996,0.01010101,0.000159439,6236,195,domain
netflix_titles.csv,title,6173,gender_development.csv,Mean_Years_of_Education_Male,90,1,0.000161996,0.011111111,0.000159668,6236,195,domain
netflix_titles.csv,title,6173,ipums_la_98-small.csv,chborn,14,1,0.000161996,0.071428571,0.000161629,6236,7485,domain
netflix_titles.csv,title,6173,ipums_la_98-small.csv,bplg,110,1,0.000161996,0.009090909,0.00015916,6236,7485,domain
netflix_titles.csv,title,6173,phpRiBb0c.csv,name,76,1,0.000161996,0.013157895,0.000160026,6236,77,domain
netflix_titles.csv,title,6173,phpRiBb0c.csv,calories,12,1,0.000161996,0.083333333,0.000161681,6236,77,domain
netflix_titles.csv,title,6173,fifa_ranking.csv,country_full,216,1,0.000161996,0.00462963,0.000156519,6236,57793,domain
top50.csv,TrackName,50,top10s.csv,title,584,13,0.26,0.022260274,0.020504732,50,603,semantic
top50.csv,TrackName,50,song_data.csv,song_name,13070,3,0.06,0.000229533,0.000228659,50,18835,semantic
top50.csv,TrackName,50,dataSpotify.csv,song_title,1956,2,0.04,0.001022495,0.000997009,50,2017,semantic
top50.csv,TrackName,50,countries_and_continents.csv,name,250,1,0.02,0.004,0.003333333,50,251,domain
top50.csv,TrackName,50,countries_and_continents.csv,official_name_en,242,1,0.02,0.004132231,0.003424658,50,251,domain
top50.csv,TrackName,50,Word_University_Rank_2020.csv,Country,92,1,0.02,0.010869565,0.007042254,50,1396,domain
top50.csv,TrackName,50,netflix_titles.csv,country,563,1,0.02,0.001776199,0.001631321,50,6236,domain
top50.csv,TrackName,50,wikipedia-iso-country-codes.csv,English_short_name_lower_case,246,1,0.02,0.004065041,0.003378378,50,246,domain
top50.csv,TrackName,50,cwurData.csv,country,59,1,0.02,0.016949153,0.009174312,50,2200,domain
top50.csv,TrackName,50,movies.csv,country,57,1,0.02,0.01754386,0.009345794,50,6820,domain
top50.csv,TrackName,50,movies.csv,name,6731,1,0.02,0.000148566,0.000147471,50,6820,domain
top50.csv,TrackName,50,whr2015.csv,Country,158,1,0.02,0.006329114,0.004807692,50,158,domain
top50.csv,TrackName,50,movie_metadata.csv,movie_title,4808,1,0.02,0.000207987,0.000205846,50,4932,domain
top50.csv,TrackName,50,movie_metadata.csv,country,64,1,0.02,0.015625,0.00877193,50,4932,domain
top50.csv,TrackName,50,countries_of_the_world.csv,Country,225,1,0.02,0.004444444,0.003636364,50,227,domain
top50.csv,TrackName,50,World_countries_env_vars.csv,Country,243,1,0.02,0.004115226,0.003412969,50,243,domain
top50.csv,TrackName,50,gender_development.csv,Country,195,1,0.02,0.005128205,0.004081633,50,195,domain
top50.csv,TrackName,50,ipums_la_98-small.csv,bplg,110,1,0.02,0.009090909,0.00625,50,7485,domain
